rule_id,rule_family,rule_template_no,treaty_inspiration,regulated_focus,regulated_item,controlled_action,required_document,exemption_condition,threshold_parameter,threshold_value,unit,evidence_requirement,domestic_mapping_required,human_review_trigger,corrective_action_template,rule_description,legal_logic_type,risk_weight,active_flag,version
BAS_R01,Basel-inspired,1,Basel,Hazardous waste movement,hazardous_waste,movement,movement_consent,not_applicable_or_documented,document_or_consent_status,3377.4,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Suspend movement; obtain consent; submit movement/disposal trail,Basel-inspired rule template for hazardous_waste during movement; checks document/threshold evidence and domestic mapping.,document-based,0.66,yes,v1.0
BAS_R02,Basel-inspired,2,Basel,Hazardous waste movement,waste_solvent,export,disposal_authorization,not_applicable_or_documented,document_or_consent_status,1737.6,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Suspend movement; obtain consent; submit movement/disposal trail,Basel-inspired rule template for waste_solvent during export; checks document/threshold evidence and domestic mapping.,document-based,0.72,yes,v1.0
BAS_R03,Basel-inspired,3,Basel,Hazardous waste movement,contaminated_sludge,transfer,waste_manifest,not_applicable_or_documented,document_or_consent_status,3814.1,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Suspend movement; obtain consent; submit movement/disposal trail,Basel-inspired rule template for contaminated_sludge during transfer; checks document/threshold evidence and domestic mapping.,document-based,0.85,yes,v1.0
BAS_R04,Basel-inspired,4,Basel,Hazardous waste movement,e_waste_residue,disposal_transfer,movement_consent,not_applicable_or_documented,document_or_consent_status,4514.8,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Suspend movement; obtain consent; submit movement/disposal trail,Basel-inspired rule template for e_waste_residue during disposal_transfer; checks document/threshold evidence and domestic mapping.,document-based,0.68,yes,v1.0
BAS_R05,Basel-inspired,5,Basel,Hazardous waste movement,spent_acid,movement,disposal_authorization,not_applicable_or_documented,document_or_consent_status,2398.6,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Suspend movement; obtain consent; submit movement/disposal trail,Basel-inspired rule template for spent_acid during movement; checks document/threshold evidence and domestic mapping.,document-based,0.66,yes,v1.0
ROT_R01,Rotterdam-inspired,1,Rotterdam,Hazardous chemical export,listed_pesticide,export,import_country_consent,not_applicable_or_documented,document_or_consent_status,624.7,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Hold export; obtain prior consent; submit authorization record,Rotterdam-inspired rule template for listed_pesticide during export; checks document/threshold evidence and domestic mapping.,consent-based,0.8,yes,v1.0
ROT_R02,Rotterdam-inspired,2,Rotterdam,Hazardous chemical export,hazardous_chemical,cross_border_sale,export_authorization,not_applicable_or_documented,document_or_consent_status,163.7,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Hold export; obtain prior consent; submit authorization record,Rotterdam-inspired rule template for hazardous_chemical during cross_border_sale; checks document/threshold evidence and domestic mapping.,consent-based,0.71,yes,v1.0
ROT_R03,Rotterdam-inspired,3,Rotterdam,Hazardous chemical export,industrial_precursor,shipment,prior_informed_consent,not_applicable_or_documented,document_or_consent_status,1659.7,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Hold export; obtain prior consent; submit authorization record,Rotterdam-inspired rule template for industrial_precursor during shipment; checks document/threshold evidence and domestic mapping.,consent-based,0.81,yes,v1.0
ROT_R04,Rotterdam-inspired,4,Rotterdam,Hazardous chemical export,restricted_solvent,export,import_country_consent,not_applicable_or_documented,document_or_consent_status,629.1,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Hold export; obtain prior consent; submit authorization record,Rotterdam-inspired rule template for restricted_solvent during export; checks document/threshold evidence and domestic mapping.,consent-based,0.83,yes,v1.0
ROT_R05,Rotterdam-inspired,5,Rotterdam,Hazardous chemical export,listed_formulation,cross_border_sale,export_authorization,not_applicable_or_documented,document_or_consent_status,2042.6,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Hold export; obtain prior consent; submit authorization record,Rotterdam-inspired rule template for listed_formulation during cross_border_sale; checks document/threshold evidence and domestic mapping.,consent-based,0.65,yes,v1.0
STO_R01,Stockholm-inspired,1,Stockholm,POP use/storage/disposal,listed_POP,use,exemption_certificate,valid_exemption_required,document_or_consent_status,404.9,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Verify exemption status; submit complete disposal/storage documentation,Stockholm-inspired rule template for listed_POP during use; checks document/threshold evidence and domestic mapping.,exemption-based,0.86,yes,v1.0
STO_R02,Stockholm-inspired,2,Stockholm,POP use/storage/disposal,PCB_stock,storage,disposal_record,valid_exemption_required,document_or_consent_status,176.7,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Verify exemption status; submit complete disposal/storage documentation,Stockholm-inspired rule template for PCB_stock during storage; checks document/threshold evidence and domestic mapping.,exemption-based,0.7,yes,v1.0
STO_R03,Stockholm-inspired,3,Stockholm,POP use/storage/disposal,obsolete_pesticide_POP,disposal,storage_log,valid_exemption_required,document_or_consent_status,479.0,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Verify exemption status; submit complete disposal/storage documentation,Stockholm-inspired rule template for obsolete_pesticide_POP during disposal; checks document/threshold evidence and domestic mapping.,exemption-based,0.75,yes,v1.0
STO_R04,Stockholm-inspired,4,Stockholm,POP use/storage/disposal,POP_contaminated_material,treatment,exemption_certificate,valid_exemption_required,document_or_consent_status,55.4,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Verify exemption status; submit complete disposal/storage documentation,Stockholm-inspired rule template for POP_contaminated_material during treatment; checks document/threshold evidence and domestic mapping.,exemption-based,0.68,yes,v1.0
STO_R05,Stockholm-inspired,5,Stockholm,POP use/storage/disposal,restricted_flame_retardant,use,disposal_record,valid_exemption_required,document_or_consent_status,425.3,kg,document_status + inspection_text + domestic_mapping,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Verify exemption status; submit complete disposal/storage documentation,Stockholm-inspired rule template for restricted_flame_retardant during use; checks document/threshold evidence and domestic mapping.,exemption-based,0.83,yes,v1.0
MIN_R01,Minamata-inspired,1,Minamata,Mercury release/waste,mercury_release,release,lab_report,not_applicable_or_documented,observed_value,0.0413,mg/L,lab_report + observed_value + evidence_quality,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Stop release; submit verified lab report; provide mercury-waste record,Minamata-inspired rule template for mercury_release during release; checks document/threshold evidence and domestic mapping.,threshold-based,0.87,yes,v1.0
MIN_R02,Minamata-inspired,2,Minamata,Mercury release/waste,mercury_waste,waste_handling,mercury_waste_handling_record,not_applicable_or_documented,observed_value,0.0291,mg/L,lab_report + observed_value + evidence_quality,yes,structured_text_conflict or ambiguous_mapping or unclear_exemption,Stop release; submit verified lab report; provide mercury-waste record,Minamata-inspired rule template for mercury_waste during waste_handling; checks document/threshold evidence and domestic mapping.,threshold-based,0.94,yes,v1.0
