case_id,split,split_ratio,rule_family,reference_proof_state,candidate_rule_id,material_type,action_type,stratification_key,row_index,fold_id,leakage_checked
CASE_0001,train,70/15/15,Rotterdam-inspired,confirmed_violation,ROT_R05,listed_formulation,cross_border_sale,Rotterdam-inspired__confirmed_violation,1,0,yes
CASE_0002,train,70/15/15,Montreal-inspired,probable_violation,MON_R01,controlled_ODS,import,Montreal-inspired__probable_violation,2,0,yes
CASE_0003,train,70/15/15,Basel-inspired,probable_violation,BAS_R02,waste_solvent,export,Basel-inspired__probable_violation,3,0,yes
CASE_0004,train,70/15/15,Minamata-inspired,insufficient_evidence,MIN_R04,mercury_contaminated_effluent,treatment,Minamata-inspired__insufficient_evidence,4,0,yes
CASE_0008,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R05,restricted_flame_retardant,use,Stockholm-inspired__confirmed_violation,8,0,yes
CASE_0009,train,70/15/15,Montreal-inspired,no_violation,MON_R02,CFC_stock,production,Montreal-inspired__no_violation,9,0,yes
CASE_0010,train,70/15/15,Minamata-inspired,no_violation,MIN_R03,mercury_sludge,storage,Minamata-inspired__no_violation,10,0,yes
CASE_0011,train,70/15/15,Stockholm-inspired,human_review_required,STO_R05,restricted_flame_retardant,use,Stockholm-inspired__human_review_required,11,0,yes
CASE_0012,train,70/15/15,Rotterdam-inspired,no_violation,ROT_R02,hazardous_chemical,cross_border_sale,Rotterdam-inspired__no_violation,12,0,yes
CASE_0013,train,70/15/15,Stockholm-inspired,probable_violation,STO_R02,PCB_stock,storage,Stockholm-inspired__probable_violation,13,0,yes
CASE_0014,train,70/15/15,Rotterdam-inspired,no_violation,ROT_R04,restricted_solvent,export,Rotterdam-inspired__no_violation,14,0,yes
CASE_0016,train,70/15/15,Montreal-inspired,no_violation,MON_R01,controlled_ODS,import,Montreal-inspired__no_violation,16,0,yes
CASE_0017,train,70/15/15,Basel-inspired,human_review_required,BAS_R03,contaminated_sludge,transfer,Basel-inspired__human_review_required,17,0,yes
CASE_0018,train,70/15/15,Stockholm-inspired,no_violation,STO_R04,POP_contaminated_material,treatment,Stockholm-inspired__no_violation,18,0,yes
CASE_0020,train,70/15/15,Montreal-inspired,human_review_required,MON_R03,HCFC_batch,use,Montreal-inspired__human_review_required,20,0,yes
CASE_0021,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R02,PCB_stock,storage,Stockholm-inspired__confirmed_violation,21,0,yes
CASE_0022,train,70/15/15,Montreal-inspired,no_violation,MON_R03,HCFC_batch,use,Montreal-inspired__no_violation,22,0,yes
CASE_0024,train,70/15/15,Basel-inspired,insufficient_evidence,BAS_R01,hazardous_waste,movement,Basel-inspired__insufficient_evidence,24,0,yes
CASE_0025,train,70/15/15,Montreal-inspired,human_review_required,MON_R01,controlled_ODS,import,Montreal-inspired__human_review_required,25,0,yes
CASE_0026,train,70/15/15,Basel-inspired,confirmed_violation,BAS_R04,e_waste_residue,disposal_transfer,Basel-inspired__confirmed_violation,26,0,yes
CASE_0027,train,70/15/15,Rotterdam-inspired,insufficient_evidence,ROT_R04,restricted_solvent,export,Rotterdam-inspired__insufficient_evidence,27,0,yes
CASE_0028,train,70/15/15,Montreal-inspired,probable_violation,MON_R01,controlled_ODS,import,Montreal-inspired__probable_violation,28,0,yes
CASE_0030,train,70/15/15,Montreal-inspired,probable_violation,MON_R02,CFC_stock,production,Montreal-inspired__probable_violation,30,0,yes
CASE_0031,train,70/15/15,Montreal-inspired,probable_violation,MON_R02,CFC_stock,production,Montreal-inspired__probable_violation,31,0,yes
CASE_0033,train,70/15/15,Rotterdam-inspired,insufficient_evidence,ROT_R02,hazardous_chemical,cross_border_sale,Rotterdam-inspired__insufficient_evidence,33,0,yes
CASE_0035,train,70/15/15,Montreal-inspired,no_violation,MON_R03,HCFC_batch,use,Montreal-inspired__no_violation,35,0,yes
CASE_0040,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R02,PCB_stock,storage,Stockholm-inspired__confirmed_violation,40,0,yes
CASE_0041,train,70/15/15,Minamata-inspired,confirmed_violation,MIN_R03,mercury_sludge,storage,Minamata-inspired__confirmed_violation,41,0,yes
CASE_0043,train,70/15/15,Montreal-inspired,confirmed_violation,MON_R02,CFC_stock,production,Montreal-inspired__confirmed_violation,43,0,yes
CASE_0044,train,70/15/15,Minamata-inspired,confirmed_violation,MIN_R01,mercury_release,release,Minamata-inspired__confirmed_violation,44,0,yes
CASE_0045,train,70/15/15,Minamata-inspired,insufficient_evidence,MIN_R05,mercury_air_emission,release,Minamata-inspired__insufficient_evidence,45,0,yes
CASE_0046,train,70/15/15,Minamata-inspired,insufficient_evidence,MIN_R05,mercury_air_emission,release,Minamata-inspired__insufficient_evidence,46,0,yes
CASE_0050,train,70/15/15,Stockholm-inspired,insufficient_evidence,STO_R04,POP_contaminated_material,treatment,Stockholm-inspired__insufficient_evidence,50,0,yes
CASE_0051,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R03,obsolete_pesticide_POP,disposal,Stockholm-inspired__confirmed_violation,51,0,yes
CASE_0053,train,70/15/15,Basel-inspired,probable_violation,BAS_R01,hazardous_waste,movement,Basel-inspired__probable_violation,53,0,yes
CASE_0054,train,70/15/15,Basel-inspired,no_violation,BAS_R04,e_waste_residue,disposal_transfer,Basel-inspired__no_violation,54,0,yes
CASE_0056,train,70/15/15,Minamata-inspired,probable_violation,MIN_R03,mercury_sludge,storage,Minamata-inspired__probable_violation,56,0,yes
CASE_0057,train,70/15/15,Montreal-inspired,confirmed_violation,MON_R03,HCFC_batch,use,Montreal-inspired__confirmed_violation,57,0,yes
CASE_0058,train,70/15/15,Stockholm-inspired,probable_violation,STO_R02,PCB_stock,storage,Stockholm-inspired__probable_violation,58,0,yes
CASE_0059,train,70/15/15,Stockholm-inspired,insufficient_evidence,STO_R03,obsolete_pesticide_POP,disposal,Stockholm-inspired__insufficient_evidence,59,0,yes
CASE_0062,train,70/15/15,Basel-inspired,probable_violation,BAS_R05,spent_acid,movement,Basel-inspired__probable_violation,62,0,yes
CASE_0063,train,70/15/15,Stockholm-inspired,human_review_required,STO_R05,restricted_flame_retardant,use,Stockholm-inspired__human_review_required,63,0,yes
CASE_0065,train,70/15/15,Basel-inspired,insufficient_evidence,BAS_R03,contaminated_sludge,transfer,Basel-inspired__insufficient_evidence,65,0,yes
CASE_0067,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R01,listed_POP,use,Stockholm-inspired__confirmed_violation,67,0,yes
CASE_0069,train,70/15/15,Montreal-inspired,confirmed_violation,MON_R04,ODS_blend,sale,Montreal-inspired__confirmed_violation,69,0,yes
CASE_0070,train,70/15/15,Basel-inspired,insufficient_evidence,BAS_R02,waste_solvent,export,Basel-inspired__insufficient_evidence,70,0,yes
CASE_0071,train,70/15/15,Minamata-inspired,human_review_required,MIN_R05,mercury_air_emission,release,Minamata-inspired__human_review_required,71,0,yes
CASE_0073,train,70/15/15,Rotterdam-inspired,human_review_required,ROT_R04,restricted_solvent,export,Rotterdam-inspired__human_review_required,73,0,yes
CASE_0074,train,70/15/15,Minamata-inspired,no_violation,MIN_R03,mercury_sludge,storage,Minamata-inspired__no_violation,74,0,yes
CASE_0075,train,70/15/15,Stockholm-inspired,confirmed_violation,STO_R02,PCB_stock,storage,Stockholm-inspired__confirmed_violation,75,0,yes
CASE_0076,train,70/15/15,Minamata-inspired,probable_violation,MIN_R02,mercury_waste,waste_handling,Minamata-inspired__probable_violation,76,0,yes
CASE_0077,train,70/15/15,Rotterdam-inspired,human_review_required,ROT_R04,restricted_solvent,export,Rotterdam-inspired__human_review_required,77,0,yes
CASE_0078,train,70/15/15,Stockholm-inspired,probable_violation,STO_R05,restricted_flame_retardant,use,Stockholm-inspired__probable_violation,78,0,yes
CASE_0079,train,70/15/15,Basel-inspired,probable_violation,BAS_R04,e_waste_residue,disposal_transfer,Basel-inspired__probable_violation,79,0,yes
CASE_0080,train,70/15/15,Minamata-inspired,probable_violation,MIN_R03,mercury_sludge,storage,Minamata-inspired__probable_violation,80,0,yes
