case_id,rule_family,candidate_rule_id,entity_type,material_type,action_type,is_regulated_item,is_controlled_action,required_document_status,exemption_status,observed_value,legal_limit,unit,exceedance_ratio,evidence_quality,domestic_mapping_available,prior_warning,repeat_event,inspection_text,normalized_text_length_words,missing_critical_field,structured_text_conflict,rule_applicability,obligation_exists,factual_breach_indicator,evidence_complete,case_complexity_score,rule_logic_type,public_record_flag,deidentified
CASE_0001,Rotterdam-inspired,ROT_R05,storage_operator,listed_formulation,cross_border_sale,yes,yes,missing,not_applicable,220.8,1993.9,kg,0.111,verified,yes,yes,no,Inspection note states that required authorization was not produced during review. Export consent record was reviewed.,16,no,no,yes,yes,yes,yes,0.65,consent-based,deidentified_rule_mapped,yes
CASE_0002,Montreal-inspired,MON_R01,industrial_facility,controlled_ODS,import,yes,yes,expired,not_applicable,830.9,719.3,kg,1.155,valid,yes,yes,no,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,yes,no,yes,yes,likely,partial,0.5,quota-based,deidentified_rule_mapped,yes
CASE_0003,Basel-inspired,BAS_R02,storage_operator,waste_solvent,export,yes,yes,missing,not_applicable,1977.1,1547,kg,1.278,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Hazardous waste movement trail was checked.,15,yes,no,yes,yes,likely,partial,0.75,document-based,deidentified_rule_mapped,yes
CASE_0004,Minamata-inspired,MIN_R04,storage_operator,mercury_contaminated_effluent,treatment,yes,yes,unclear,unclear,0.0497,0.0423,mg/L,1.175,unverified,yes,yes,yes,Audit observation lacks enough support for a confirmed legal conclusion. Mercury value and laboratory evidence were examined.,17,yes,no,yes,unclear,unknown,no,0.63,threshold-based,deidentified_rule_mapped,yes
CASE_0005,Stockholm-inspired,STO_R05,importer,restricted_flame_retardant,use,yes,yes,expired,invalid,158.8,368.9,kg,0.43,verified,yes,yes,yes,Audit observation confirms breach indicators with supporting document gap. POP exemption and disposal status were examined.,16,no,no,yes,yes,yes,yes,0.85,exemption-based,deidentified_rule_mapped,yes
CASE_0006,Montreal-inspired,MON_R05,industrial_facility,refrigerant_stock,import,yes,yes,expired,not_applicable,1302.8,653.9,kg,1.992,partial,yes,no,yes,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,yes,no,yes,yes,likely,partial,0.52,quota-based,deidentified_rule_mapped,yes
CASE_0007,Rotterdam-inspired,ROT_R01,waste_handler,listed_pesticide,export,yes,yes,expired,not_applicable,153.1,869.7,kg,0.176,valid,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.79,consent-based,deidentified_rule_mapped,yes
CASE_0008,Stockholm-inspired,STO_R05,industrial_facility,restricted_flame_retardant,use,yes,yes,expired,invalid,102.5,210.8,kg,0.486,verified,yes,yes,yes,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.61,exemption-based,deidentified_rule_mapped,yes
CASE_0009,Montreal-inspired,MON_R02,importer,CFC_stock,production,no,no,valid,valid,161.7,266.5,kg,0.607,valid,not_required,no,yes,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.69,quota-based,deidentified_rule_mapped,yes
CASE_0010,Minamata-inspired,MIN_R03,storage_operator,mercury_sludge,storage,yes,no,valid,valid,0.0174,0.022,mg/L,0.791,valid,yes,no,yes,Inspection note confirms required record was available and no breach indicator was observed. Mercury value and laboratory evidence were examined.,20,no,no,no,yes,no,yes,0.52,threshold-based,deidentified_rule_mapped,yes
CASE_0011,Stockholm-inspired,STO_R05,waste_handler,restricted_flame_retardant,use,yes,yes,partial,not_recorded,592.4,472.9,kg,1.253,partial,yes,no,yes,Inspection note conflicts with structured record and requires officer review. POP exemption and disposal status were examined.,17,yes,yes,yes,unclear,likely,partial,0.51,exemption-based,deidentified_rule_mapped,yes
CASE_0012,Rotterdam-inspired,ROT_R02,waste_handler,hazardous_chemical,cross_border_sale,no,yes,available,valid,1094,1786.1,kg,0.613,valid,not_required,no,no,Inspection note confirms required record was available and no breach indicator was observed. Export consent record was reviewed.,18,no,no,no,yes,no,yes,0.4,consent-based,deidentified_rule_mapped,yes
CASE_0013,Stockholm-inspired,STO_R02,chemical_exporter,PCB_stock,storage,yes,yes,partial,invalid,252.2,424,kg,0.595,partial,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. POP exemption and disposal status were examined.,16,yes,no,yes,yes,likely,partial,0.56,exemption-based,deidentified_rule_mapped,yes
