case_id,expected_rule_id,expected_proof_state,expected_corrective_action,expected_human_review_flag,predicted_rule_id,predicted_proof_state,validated_proof_state,proof_state_confidence,supporting_evidence,missing_evidence,evidence_matrix_json,framework_corrective_action,framework_case_file_summary,human_review_flag,unsupported_claim_flag,legal_validation_passed,evidence_completeness_score,rule_match_flag,model_variant,output_version
CASE_0001,ROT_R05,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R05,confirmed_violation,confirmed_violation,0.893,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_0001: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.904,yes,EnvLex-Lite,v1.0
CASE_0002,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.826,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0002: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.957,yes,EnvLex-Lite,v1.0
CASE_0003,BAS_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,BAS_R02,probable_violation,probable_violation,0.749,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0003: Basel-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.964,yes,EnvLex-Lite,v1.0
CASE_0004,MIN_R04,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R04,insufficient_evidence,insufficient_evidence,0.737,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0004: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.756,yes,EnvLex-Lite,v1.0
CASE_0005,STO_R05,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R05,confirmed_violation,confirmed_violation,0.898,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Verify exemption status; submit complete disposal/storage documentation,"CASE_0005: Stockholm-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.932,yes,EnvLex-Lite,v1.0
CASE_0006,MON_R05,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R05,probable_violation,probable_violation,0.833,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0006: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.958,yes,EnvLex-Lite,v1.0
CASE_0007,ROT_R01,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R01,confirmed_violation,confirmed_violation,0.942,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_0007: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.946,yes,EnvLex-Lite,v1.0
CASE_0008,STO_R05,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R05,confirmed_violation,confirmed_violation,0.913,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Verify exemption status; submit complete disposal/storage documentation,"CASE_0008: Stockholm-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.935,yes,EnvLex-Lite,v1.0
CASE_0009,MON_R02,no_violation,Close preliminary review; retain compliance record,no,MON_R02,no_violation,no_violation,0.939,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0009: Montreal-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.973,yes,EnvLex-Lite,v1.0
CASE_0010,MIN_R03,no_violation,Close preliminary review; retain compliance record,no,MIN_R03,no_violation,no_violation,0.905,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0010: Minamata-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.925,yes,EnvLex-Lite,v1.0
CASE_0011,STO_R05,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,STO_R05,human_review_required,human_review_required,0.654,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0011: Stockholm-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",yes,no,yes,0.709,yes,EnvLex-Lite,v1.0
CASE_0012,ROT_R02,no_violation,Close preliminary review; retain compliance record,no,ROT_R04,insufficient_evidence,insufficient_evidence,0.554,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,CASE_0012: Rotterdam-inspired case assessed as insufficient evidence based on valid evidence quality.,no,yes,no,0.521,no,EnvLex-Lite,v1.0
CASE_0013,STO_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,STO_R02,probable_violation,probable_violation,0.612,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0013: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.955,yes,EnvLex-Lite,v1.0
CASE_0014,ROT_R04,no_violation,Close preliminary review; retain compliance record,no,ROT_R04,no_violation,no_violation,0.956,regulated item and controlled action; threshold exceedance; valid evidence quality,none,"{""rule_applicability"":""yes"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0014: Rotterdam-inspired case assessed as no violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.86,yes,EnvLex-Lite,v1.0
CASE_0015,BAS_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,BAS_R03,probable_violation,probable_violation,0.845,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0015: Basel-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.916,yes,EnvLex-Lite,v1.0
CASE_0016,MON_R01,no_violation,Close preliminary review; retain compliance record,no,MON_R01,no_violation,no_violation,0.874,regulated item and controlled action; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0016: Montreal-inspired case assessed as no violation based on regulated item and controlled action, valid evidence quality, domestic/permit mapping available.",no,no,yes,0.914,yes,EnvLex-Lite,v1.0
