file_name,column_name,data_type,allowed_values,description,input_or_output,used_for_training,used_for_validation,sensitive_status,example_value,leakage_control_note,source_category
rule_library.csv,rule_id,string/numeric,see file,Rule library field: rule_id,input,yes,no,non-sensitive rule template,BAS_R01,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,rule_family,string/numeric,see file,Rule library field: rule_family,input,yes,no,non-sensitive rule template,Basel-inspired,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,rule_template_no,string/numeric,see file,Rule library field: rule_template_no,input,yes,no,non-sensitive rule template,1,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,treaty_inspiration,string/numeric,see file,Rule library field: treaty_inspiration,input,yes,no,non-sensitive rule template,Basel,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,regulated_focus,string/numeric,see file,Rule library field: regulated_focus,input,yes,no,non-sensitive rule template,Hazardous waste movement,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,regulated_item,string/numeric,see file,Rule library field: regulated_item,input,yes,no,non-sensitive rule template,hazardous_waste,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,controlled_action,string/numeric,see file,Rule library field: controlled_action,input,yes,no,non-sensitive rule template,movement,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,required_document,string/numeric,see file,Rule library field: required_document,input,yes,no,non-sensitive rule template,movement_consent,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,exemption_condition,string/numeric,see file,Rule library field: exemption_condition,input,yes,no,non-sensitive rule template,not_applicable_or_documented,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,threshold_parameter,string/numeric,see file,Rule library field: threshold_parameter,input,yes,no,non-sensitive rule template,document_or_consent_status,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,threshold_value,string/numeric,see file,Rule library field: threshold_value,input,yes,no,non-sensitive rule template,3377.4,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,unit,string/numeric,see file,Rule library field: unit,input,yes,no,non-sensitive rule template,kg,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,evidence_requirement,string/numeric,see file,Rule library field: evidence_requirement,input,yes,no,non-sensitive rule template,document_status + inspection_text + domestic_mapping,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,domestic_mapping_required,string/numeric,see file,Rule library field: domestic_mapping_required,input,yes,no,non-sensitive rule template,yes,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,human_review_trigger,string/numeric,see file,Rule library field: human_review_trigger,input,yes,no,non-sensitive rule template,structured_text_conflict or ambiguous_mapping or unclear_exemption,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,corrective_action_template,string/numeric,see file,Rule library field: corrective_action_template,input,yes,no,non-sensitive rule template,Suspend movement; obtain consent; submit movement/disposal trail,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,rule_description,string/numeric,see file,Rule library field: rule_description,input,yes,no,non-sensitive rule template,Basel-inspired rule template for hazardous_waste during movement; checks document/threshold evidence and domestic mapping.,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,legal_logic_type,string/numeric,see file,Rule library field: legal_logic_type,input,yes,no,non-sensitive rule template,document-based,safe input/metadata after de-identification,machine_readable_rule
rule_library.csv,risk_weight,string/numeric,see file,Rule library field: risk_weight,input,yes,no,non-sensitive rule template,0.66,safe input/metadata after de-identification,machine_readable_rule
